"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","category"
"IGFL2",269.480517035386,4.12673773678444,0.221820798702223,6.05979580755906e-80,9.51387941786772e-76,"Up"
"BGN",1500.24048119599,4.29146496328359,0.238113774516316,2.87458437540561e-75,2.25654873469341e-71,"Up"
"COL17A1",222.190465044746,4.52532923349778,0.252740371514268,2.64986822767114e-74,1.38676437248123e-70,"Up"
"PTGFRN",1135.65483636555,2.52785933274194,0.143590093070089,2.7105052846293e-72,1.063873324217e-68,"Up"
"S100A2",7870.50507070388,4.34136590276213,0.247220148732303,1.11616932499064e-71,3.50477168047061e-68,"Up"
"SERPINF1",6919.19771881499,1.85515844558186,0.111375996790785,1.81126990111584e-64,4.73948957458646e-61,"Up"
"SUGCT",219.075632714553,2.20890290031169,0.133592119198706,5.18850419824974e-64,1.16370737017887e-60,"Up"
"COL7A1",1415.34924460361,2.84722980109408,0.17389850814746,2.17975512268445e-63,4.27776942826823e-60,"Up"
"SEMA6A",622.887702274168,-1.64107929447741,0.101639552490969,1.52505204643572e-60,2.66036856989341e-57,"Down"
"SYT12",35.0289453763067,2.78638607316939,0.176737493753265,4.15428676748007e-59,6.52223022494371e-56,"Up"
"C4orf48",532.294281120746,1.75708787814448,0.110605315817738,7.05859071260461e-59,1.00745340170811e-55,"Up"
"CDH3",1026.04931024252,2.44725677348498,0.156042273159247,2.7720807059841e-58,3.6268055903292e-55,"Up"
"BAAT",67.3948684219262,3.29718144376848,0.212574464732622,2.29443097921109e-57,2.77096664412416e-54,"Up"
"C4B",6843.21075042552,2.11809312786709,0.136258268201915,5.47766792367479e-57,6.14281331440673e-54,"Up"
"MT-CO1",906090.400658874,1.42266831986189,0.0912336231145799,1.87180128887989e-56,1.95915201569428e-53,"Up"
"PPFIBP1",952.075433655945,-1.43335315422371,0.0930104916453978,3.13724321260076e-55,3.07841990236449e-52,"Down"
"MAGED4B",372.07784549306,1.84368242380152,0.120328260784474,3.74414589569164e-55,3.45782885660933e-52,"Up"
"CST1",123.016331843272,6.86897811911519,0.451034448913401,4.43850077425796e-55,3.87135900865833e-52,"Up"
"FHL2",1251.61549210272,1.87483514324095,0.12319261998077,1.66626819960733e-54,1.37686372283342e-51,"Up"
"NME7",722.40010878556,2.10424495812652,0.139738258277141,9.95934483916817e-54,7.81808569874701e-51,"Up"
"ELMSAN1",770.692001182716,-1.04362158709306,0.0685165373730576,1.27312043189254e-53,9.51809084795854e-51,"Down"
"EEF2",5103.8735859041,3.84171173135908,0.256789660331706,1.94890064798805e-53,1.39080637151875e-50,"Up"
"ARHGAP6",316.885640721203,-1.19943432013543,0.0794039361694275,6.09408196266746e-53,3.98654528391163e-50,"Down"
"KCNN4",500.483781264497,1.99855786143805,0.133609950005074,6.04250966271486e-53,3.98654528391163e-50,"Up"
"COMP",514.557938131305,3.33200902056079,0.2270044289091,7.12130096189618e-52,4.4721770040708e-49,"Up"
"C4A",7522.44249729006,1.97004596054729,0.133551257868418,1.43420879340388e-51,8.66041463709267e-49,"Up"
"MT-CO3",791896.945100925,1.26016696582713,0.0851987692842034,5.91429592551315e-51,3.43905355668728e-48,"Up"
"BTNL8",122.119878999422,-2.22400428068395,0.153369270043759,2.85066785369889e-50,1.59841018939545e-47,"Down"
"CDH13",285.582740234636,-2.00952479051451,0.138668545568636,5.80607058168813e-50,3.14328648732771e-47,"Down"
"TMEM138",2193.32376873564,0.783201244868835,0.0532588080696614,7.23076330475026e-50,3.7840994628193e-47,"Not Significant"
"SPRR1A",171.700565951257,6.62642898955636,0.460483857675511,1.20654998338079e-49,6.11059185131561e-47,"Up"
"SIL1",1085.90376265338,1.55148674761382,0.106955213003719,1.79627027480881e-49,8.63757513033118e-47,"Up"
"MT-ND3",480631.380103014,1.23544124342551,0.0848362281027266,1.81554126943267e-49,8.63757513033118e-47,"Up"
"ADRA1A",102.336304630367,-2.4977967613757,0.174505914231248,2.25303671644568e-49,1.03369624316279e-46,"Down"
"EDNRB",1739.74745502215,-1.60949896173926,0.111173693235154,2.30441837647755e-49,1.03369624316279e-46,"Down"
"PTPRB",1238.80174947383,-1.60535746283611,0.111121539268462,3.63086191194633e-49,1.58345922270993e-46,"Down"
"FAM83A",110.161472644144,3.04213376023483,0.214071076898661,5.26778564202794e-49,2.23524958323888e-46,"Up"
"AFF3",231.773061446469,-1.75779087196737,0.12235990172408,7.48823675320063e-49,3.09382413224342e-46,"Down"
"GPM6B",470.858064482731,-1.28043489566575,0.0889989975499876,2.087463870696e-48,8.40338019741724e-46,"Down"
"AGTPBP1",519.257656453852,-0.822406185621685,0.0570538697241445,4.44488461280977e-48,1.74461721052783e-45,"Not Significant"
"ERGIC3",10477.8561228613,0.850908273239967,0.0590740950632005,4.71183814317324e-48,1.80428924019073e-45,"Not Significant"
"TJP1",1618.58317762182,-0.860544048559151,0.0598954153615949,7.76409515421436e-48,2.9022927124087e-45,"Not Significant"
"CXCL13",949.752903318648,4.04744856483834,0.288030858296826,1.29161176969187e-47,4.60870563276416e-45,"Up"
"SELENOW",16318.219328229,1.11327021526421,0.0779146778010539,1.2854415341237e-47,4.60870563276416e-45,"Up"
"NUMB",2606.3940640424,-0.552964748854722,0.0384018761888115,1.67283222545086e-47,5.76565576313312e-45,"Not Significant"
"MT-ATP6",515121.922755448,1.32554802503082,0.0931276916796175,1.68930041467595e-47,5.76565576313312e-45,"Up"
"MT-CO2",699914.136547909,1.32597411458072,0.0933010658999003,2.30671280398859e-47,7.70540234523849e-45,"Up"
"BTNL9",2148.10504661491,-2.72448178119276,0.195513313521858,3.23214319440056e-47,1.05718016983518e-44,"Down"
"PRSS2",201.317816280456,4.79654444440518,0.342387166146713,3.35453274730731e-47,1.07481967617806e-44,"Up"
"CASKIN2",203.485814629528,-2.36486978713014,0.169272257456745,3.94956363501678e-47,1.24016298139527e-44,"Down"
"LGALS7B",820.532998989785,4.5756215885674,0.327140658265566,4.33224856409826e-47,1.33365298934005e-44,"Up"
"MT-CYB",296869.21558047,1.44877779965689,0.102702763305982,7.44184308725719e-47,2.24686416288342e-44,"Up"
"PLA2G2D",340.935393408145,3.80433823402919,0.27375035733218,8.99510605853735e-47,2.66458802111389e-44,"Up"
"ITGB4",2322.63127096794,1.84773097153102,0.132085136443688,1.22679208397997e-46,3.56678439231212e-44,"Up"
"DENND3",2652.78463770619,-1.2279863255208,0.0870750142033075,1.38960403779867e-46,3.9666878897162e-44,"Down"
"NFATC4",2800.08691537357,1.61048468953142,0.114815065602336,1.4529091531661e-46,4.07333459012638e-44,"Up"
"MTSS1",1053.36229013256,-0.785045263226409,0.0555343530006955,2.74840740327695e-46,7.57017477744704e-44,"Not Significant"
"INPP5K",833.449199305803,-1.018768277033,0.0725747385712762,5.66061023455933e-46,1.5322686324583e-43,"Down"
"PRDX1",724.396123804302,2.63308936113591,0.191925398489077,7.4616773770812e-46,1.98556499695212e-43,"Up"
"CPNE5",386.875061694264,1.78266036503244,0.128791215469043,1.16869530861986e-45,3.05808605755529e-43,"Up"
"AC010422.3",343.252542634946,1.77986687189565,0.12862711182717,1.24684380562571e-45,3.20908979480715e-43,"Up"
"DOCK4",966.556057198261,-0.971355428032613,0.0694717470397336,1.38544427677419e-45,3.50830244279917e-43,"Not Significant"
"CHID1",2856.68750008638,0.673776635500207,0.0480111609455221,1.8351438407639e-45,4.5732949682529e-43,"Not Significant"
"WDR46",1229.09844938518,1.51907606557488,0.110309640483651,6.71288958483499e-45,1.64675572627983e-42,"Up"
"GAP43",30.6311530597705,2.83694227030479,0.210352918192344,1.37016775236549e-44,3.30948210955971e-42,"Up"
"GPR87",229.577024677928,3.86799966047347,0.286994128375304,3.04317851699454e-44,7.23907616921427e-42,"Up"
"CD27",787.283797589764,2.12200813704208,0.156840837068057,3.22827813349494e-44,7.56477114863739e-42,"Up"
"HIF3A",906.862169417719,-2.16922109420034,0.160487347688835,3.40998750368214e-44,7.87305938350141e-42,"Down"
"DERL3",2751.12932077137,2.45771401214739,0.183502433569852,8.94885806089022e-44,2.03618944284024e-41,"Up"
"SBF2",814.321247586161,-0.755151723902713,0.0550535751610213,1.09275545371897e-43,2.45089437476968e-41,"Not Significant"
"FRY",2209.02259203042,-1.15091479094994,0.0846947624664578,2.11297089011954e-43,4.67234408096857e-41,"Down"
"MDK",5545.62129192632,1.47675313865604,0.109230556697393,2.372953185552e-43,5.17435625182867e-41,"Up"
"IGSF9",69.2272443822047,2.24246075047133,0.167946899423652,2.59316876066775e-43,5.50172291114643e-41,"Up"
"MZB1",5614.61967748256,2.60339559841217,0.195854670418853,2.58038456607432e-43,5.50172291114643e-41,"Up"
"PPP1R14B",271.393514854342,1.78656747933224,0.133071711156853,3.44047058366824e-43,7.20205175514551e-41,"Up"
"FAXDC2",413.492634471556,-1.55057806884772,0.115079627238616,3.57919388611025e-43,7.39386105420143e-41,"Down"
"PRPF19",251.666547315585,2.49578899460764,0.188362354966577,5.6244376512345e-43,1.14680092369327e-40,"Up"
"PEAK1",827.811012176071,-0.885240430921752,0.0652797238152826,5.95117571727803e-43,1.19786485591366e-40,"Not Significant"
"TMED3",1293.52308029529,1.41516905765519,0.105180133732721,6.76539536263414e-43,1.34451528092856e-40,"Up"
"KRT15",4211.9599629105,3.33790648339836,0.253049280601683,7.78791989080871e-43,1.52837927857121e-40,"Up"
"ITPA",1735.4527372509,1.13515573048865,0.0843282129077724,1.24482625981296e-42,2.41281139247698e-40,"Up"
"FLT4",378.595720123639,-1.4680460904207,0.10966334948298,1.46262543049943e-42,2.8003925925416e-40,"Down"
