"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","category"
"PRDX1",724.396123804302,-2.89193849334981,0.188930178691683,1.72220827433641e-54,2.70386699070816e-50,"Down"
"BGN",1500.24048119599,-3.35658366935424,0.23541814432752,4.7511815885541e-48,3.72967754701497e-44,"Down"
"ARHGDIA",2476.33541264312,-1.94380043438366,0.145764417733779,1.33725366698842e-43,6.99829419057275e-40,"Down"
"PSMB10",2698.81343278353,-1.05104322797811,0.0829937781151238,2.38538060430973e-39,9.36261887191571e-36,"Down"
"MT-ND3",480631.380103014,-1.07272868568456,0.0851747554552887,4.21138546089035e-39,1.32237503471957e-35,"Down"
"AC010422.3",343.252542634946,-1.59588417931365,0.13314739210543,1.21815318803782e-37,3.1875008420323e-34,"Down"
"MT-CYB",296869.21558047,-1.26540350398835,0.104751564677937,1.72873907346552e-37,3.39265043167607e-34,"Down"
"MT-ND1",310555.848342,-1.32906747390594,0.11047777300829,1.60002219806945e-37,3.39265043167607e-34,"Down"
"EEF2",5103.8735859041,-3.14232395436156,0.252661327856117,2.64298072257417e-37,4.61053303826827e-34,"Down"
"CCDC12",2851.29077640996,-0.630073912098306,0.050100930424135,4.57818676886315e-37,7.18775322711515e-34,"Not Significant"
"CLDN18",187.32920901858,-3.21012106374926,0.259827561518125,6.60302506962534e-37,9.42431759937435e-34,"Down"
"MT-CO3",791896.945100925,-1.04243083263328,0.0853822991387972,8.01513295197024e-37,1.04864656121611e-33,"Down"
"MT-CO2",699914.136547909,-1.13413438477586,0.0941541661190505,1.54415188077642e-36,1.86486034832229e-33,"Down"
"MT-ATP6",515121.922755448,-1.1231827118779,0.0939065349355198,5.05148159348402e-36,5.66487578697851e-33,"Down"
"RPS13",4640.88753986256,-1.11456501232854,0.0933708144268271,7.61744322350272e-36,7.97292390726618e-33,"Down"
"C17orf49",4741.65826270115,-0.688470086381841,0.0564030611715199,3.36123321161849e-35,3.29821008890065e-32,"Not Significant"
"PPP1CA",2102.06339676321,-0.954897851257628,0.0796703770473102,4.02844691410888e-35,3.72038920891232e-32,"Not Significant"
"ARAF",1244.89956438166,-1.16833131460629,0.100119481406061,8.44684226558013e-35,7.36752353164489e-32,"Down"
"MT-CO1",906090.400658874,-1.07374067852356,0.0916523426246409,1.9367349050457e-34,1.60035463206408e-31,"Down"
"ACTB",33832.8128068412,-2.86366415734381,0.241158562297591,3.90805268177262e-34,2.9957417508975e-31,"Down"
"ATOX1",590.220002424463,-1.10837340557566,0.0954642676631964,4.00704310629602e-34,2.9957417508975e-31,"Down"
"NOSIP",2875.84094714716,-0.615121543830738,0.0512628965305573,6.12101995765401e-34,4.36818242432582e-31,"Not Significant"
"AP5Z1",688.434809120925,-1.25827311911534,0.110651311836424,8.22503998370433e-34,5.61448381496339e-31,"Down"
"MT-ND2",314633.430968592,-1.11598538811409,0.0969599161056631,1.15669565616912e-33,7.56671741743968e-31,"Down"
"ARL6IP5",189.038955484352,-2.37982713610428,0.202180475039572,1.23764943286837e-33,7.77243843841339e-31,"Down"
"NAPSA",8483.53154487668,-2.26778617600358,0.193708592687887,1.64286794051557e-33,9.92039487157481e-31,"Down"
"ORMDL3",1040.70295377465,-0.920815831726318,0.0790938767887121,3.64844264848762e-33,2.1215018363428e-30,"Not Significant"
"LAMTOR4",9608.77990102727,-0.622636577580024,0.0526507690837358,4.735999398349e-33,2.65554251978854e-30,"Not Significant"
"ANXA11",8563.93827875304,-1.05954148596686,0.0928165964633637,7.81904046306792e-33,4.23306673345401e-30,"Down"
"UBL7",1224.50308155568,-0.806459195718646,0.0690722726453279,8.19890590279445e-33,4.29076075579576e-30,"Not Significant"
"RPL18A",1097.1169806479,-2.1232148945595,0.185024655713363,8.69113618350735e-33,4.40163993809888e-30,"Down"
"CLTA",894.078692302359,-1.42526706977548,0.129644314418055,1.36561334484679e-32,6.70004047315455e-30,"Down"
"PRPF19",251.666547315585,-2.15342134841702,0.18848147398702,1.97596438703978e-32,9.40080026561351e-30,"Down"
"PET100",3506.61631292654,-0.520838531813653,0.0444057821448271,2.22915059163277e-32,1.02934306731278e-29,"Not Significant"
"NDUFA3",8145.51609833562,-0.695423879636261,0.0596618621738006,2.37717885160749e-32,1.06633451343536e-29,"Not Significant"
"ATP5F1D",5593.7651848119,-0.87637040463497,0.0762173254948072,3.23491903489703e-32,1.41078413466343e-29,"Not Significant"
"CCDC124",561.262282015047,-0.916862129146706,0.0803404495852949,5.49722668419038e-32,2.33260699842673e-29,"Not Significant"
"RNF167",5531.23484883404,-0.603308666978861,0.052217276359366,1.26742278001539e-31,5.23645727532675e-29,"Not Significant"
"S100A14",591.910804149403,-1.55201085289963,0.144301065748793,1.50269035877967e-31,6.04929195713868e-29,"Down"
"RPS8",4048.48085961013,-1.354771618953,0.125309531597135,1.6350079472847e-31,6.41740619309244e-29,"Down"
"GRN",9111.27141665579,-1.41390424275723,0.131844961306572,2.81399791665661e-31,1.0775552997929e-28,"Down"
"NCLN",1458.23543022317,-1.00355025966788,0.0899601529978002,3.30932236458834e-31,1.23705621723897e-28,"Down"
"RARRES3",904.585031563931,-1.06239355600846,0.0965762910896592,8.10474703141728e-31,2.95917507891282e-28,"Down"
"FKBP8",5596.35964106564,-0.84379072455891,0.0753174815027726,1.3227123561905e-30,4.71967818004338e-28,"Not Significant"
"POLRMT",1353.81177618456,-1.0664066970843,0.0981724372543961,3.49479544367727e-30,1.21929529923851e-27,"Down"
"DCTN1",4443.11882852911,-0.853957564674337,0.0771069533287861,5.01762056108041e-30,1.71253571323831e-27,"Not Significant"
"PLEKHJ1",2183.7110640212,-0.549210687046568,0.0489678601074165,7.58306890684294e-30,2.53306769866881e-27,"Not Significant"
"WDR83OS",8108.4222451133,-0.639624658424325,0.0572869292500672,9.10072565523806e-30,2.97669568306745e-27,"Not Significant"
"MT-ND4",453102.306971483,-1.09628675460251,0.102461806195153,1.33434615244613e-29,4.27535399865394e-27,"Down"
"TRIM21",104.613695121314,-2.8080507422349,0.256064519393164,1.3935824533502e-29,4.37584890351963e-27,"Down"
"PARL",2673.33931273775,-0.591340169409406,0.0531975971235949,1.97527343442445e-29,6.08074370989488e-27,"Not Significant"
"MAD1L1",1092.50443223329,-0.856165158120618,0.0784703747056714,3.01963109860638e-29,9.11696312463849e-27,"Not Significant"
"RNPEPL1",3724.79919553319,-0.712933604990281,0.0647123301559998,3.12357795056449e-29,9.25286298563443e-27,"Not Significant"
"TNFSF12-TNFSF13",217.1161340901,-2.49405528710715,0.229594057483876,4.44269325675355e-29,1.29167192835242e-26,"Down"
"RPS3A",16741.5608907789,-1.12952917269743,0.107273480931345,5.09863296073762e-29,1.45542795424692e-26,"Down"
"CTNNBL1",826.018007294281,-1.3019236320169,0.126734804016665,8.40579551149256e-29,2.35662481304345e-26,"Down"
"ARPC1A",1080.52889291722,-1.31346453514863,0.128056147119078,8.82420468105638e-29,2.43052655250149e-26,"Down"
"DUSP3",501.698241907668,-1.35213883423376,0.132487542737145,1.05490145944671e-28,2.85550912298506e-26,"Down"
"CHTF8",1922.11320394427,-0.601072761522737,0.0549353394204387,1.31597828714049e-28,3.50184052679756e-26,"Not Significant"
"MED16",1879.31502738257,-0.966276894367813,0.090967141187069,1.88498166207698e-28,4.93236868243475e-26,"Not Significant"
"RPLP2",30181.6034013262,-1.02336749138412,0.09745725961038,3.16784214725988e-28,8.15329864130822e-26,"Down"
"MRPS34",3359.13436013783,-0.67492917263148,0.062406707891489,3.63406615009737e-28,9.20239331556914e-26,"Not Significant"
"SART1",1389.34066940489,-0.978444157410983,0.0930576429113063,5.06121121493719e-28,1.26128596943673e-25,"Not Significant"
"SCNM1",1806.36380920184,-0.517662666308603,0.0477876868224879,5.98674063475629e-28,1.46862231196365e-25,"Not Significant"
"PBXIP1",1042.29261893325,-1.0851923531413,0.104852561013769,6.40798361591385e-28,1.5477745041515e-25,"Down"
