"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","category"
"IGFL2",269.480517035386,4.21930537086406,0.210307012166135,1.06247592744797e-93,1.66808720609332e-89,"Up"
"FHL2",1251.61549210272,2.04714330766445,0.115364353055457,5.49140407343301e-72,4.31075219764491e-68,"Up"
"CTHRC1",376.308679034657,2.43546597562526,0.140059906498355,6.47698609515719e-70,3.38962272313226e-66,"Up"
"CDH3",1026.04931024252,2.48189457420538,0.145926931473344,3.8830243170804e-67,1.52408704445406e-63,"Up"
"MAP3K15",15.2624624211109,-2.44234790372942,0.14404830027378,1.10829436318762e-66,3.48004430040912e-63,"Down"
"FCRL5",361.509854723504,2.56767844444951,0.152040844388049,2.15214093124001e-66,5.6314354367447e-63,"Up"
"FAM83A",110.161472644144,3.27532495442912,0.200893457798184,2.32167539797323e-63,5.20718624973995e-60,"Up"
"PLPP5",1760.51298723159,0.872648554627877,0.0525919568364617,6.61312220308986e-63,1.29782523235638e-59,"Not Significant"
"S100A2",7870.50507070388,3.7597184191277,0.235523033157132,1.22036979294568e-61,2.12886730547191e-58,"Up"
"CPNE5",386.875061694264,1.9701996521677,0.120504626563381,1.70384565871239e-61,2.67503768417845e-58,"Up"
"KLRG2",62.7970452853131,-2.47274450184489,0.152437369689072,1.98665910870467e-61,2.83550436424212e-58,"Down"
"GOLM1",1348.32103909337,1.34192926563539,0.0825043517877479,4.33749961911899e-60,5.67489533501401e-57,"Up"
"SLCO1A2",42.4167116680992,-3.71578815664867,0.237732546310882,2.62108679723589e-59,3.16546636281565e-56,"Down"
"CFH",5461.31106548466,1.25091869243742,0.0774379515687757,2.93898863196386e-59,3.29586582298804e-56,"Up"
"TMPRSS4",754.07050373728,3.47303815498602,0.224073122672401,4.05717744754669e-58,4.24651239509887e-55,"Up"
"BAAT",67.3948684219262,3.10794728418588,0.19992474303554,8.3976390881339e-58,8.24018335523139e-55,"Up"
"ARRB1",1101.44385042823,-0.971692979703537,0.0614427675176803,3.72658011152389e-57,3.44160633828971e-54,"Not Significant"
"CXCL13",949.752903318648,4.1892689035145,0.273801127042416,4.88062298421889e-57,4.25698782512425e-54,"Up"
"STRA6",108.813039458789,2.95979155946824,0.192774473442353,2.9649075843326e-56,2.44994995126431e-53,"Up"
"SUGCT",219.075632714553,1.94381548263672,0.124862839460264,5.17356209570182e-56,4.06124624512593e-53,"Up"
"SYT12",35.0289453763067,2.54702632032299,0.165601683268914,9.30007097433214e-56,6.95291020461974e-53,"Up"
"FCRLA",134.64445060456,2.74372060749108,0.179735914576198,2.62059212405915e-55,1.87014983398766e-52,"Up"
"B3GNT3",164.801427655767,2.89776679961215,0.190535423569884,3.48793479454685e-55,2.38089462062546e-52,"Up"
"CILP2",57.9459513860407,2.91749081175821,0.192128681594519,4.62428899492777e-55,3.02505571751525e-52,"Up"
"SULF1",1117.69208095225,1.90872675492322,0.123716718736642,5.14820036767227e-55,3.23306983089818e-52,"Up"
"EPB41L5",604.38179561708,-1.59509678531414,0.104347855920183,1.2872392914959e-53,7.77294495249446e-51,"Down"
"GPR87",229.577024677928,4.02521019848549,0.272885408740946,1.50462199374489e-53,8.749098259924e-51,"Up"
"CYP27C1",28.2791674647228,2.2454422813894,0.148760538579575,2.36281978438063e-53,1.32486680767057e-50,"Up"
"ADRA1A",102.336304630367,-2.43282167677528,0.162132201064835,4.3946917728832e-53,2.37919520118159e-50,"Down"
"COL14A1",2507.91227821957,2.21823824779194,0.147348098220351,4.81030200481428e-53,2.51739138251947e-50,"Up"
"MZB1",5614.61967748256,2.72723279159611,0.182796794763044,5.25558840854234e-53,2.66170122626176e-50,"Up"
"TPBG",502.08684678309,1.25041735002001,0.0823068578706797,1.08904828435036e-52,5.34314314509396e-50,"Up"
"AGTPBP1",519.257656453852,-0.810421351790368,0.0538456145687363,2.03348872140129e-52,9.67447664424251e-50,"Not Significant"
"AL096711.2",85.2458535650059,-2.24542273394172,0.150303776501143,2.45063932760617e-52,1.13161874833579e-49,"Down"
"HS6ST2",88.4576054202032,2.44063993131993,0.164814211481437,8.10907438876066e-52,3.63749908295835e-49,"Up"
"AFF3",231.773061446469,-1.70251132191968,0.114112357454626,2.41962623123277e-51,1.05522588417652e-48,"Down"
"DERL3",2751.12932077137,2.5182160943097,0.171206359537909,2.64796975578816e-51,1.12359797745606e-48,"Up"
"PRSS2",201.317816280456,4.72283539818307,0.324944198175606,3.24093945215522e-51,1.33901972102203e-48,"Up"
"HPCAL1",3165.49679505983,-1.18781769074838,0.0802447644845393,3.86975962595251e-50,1.55782631096037e-47,"Down"
"SPRR1A",171.700565951257,6.27785575385512,0.431879575250102,5.02592578611632e-50,1.97267587105066e-47,"Up"
"MAGED4",106.488285084028,1.38811020188853,0.0940788328068209,6.49250097429883e-50,2.48615281210955e-47,"Up"
"COL10A1",428.277007627824,3.22221075916897,0.225621133238378,8.7520365773246e-50,3.27159462533324e-47,"Up"
"CYP24A1",241.077438532364,4.10495805054573,0.292587946867448,5.65978879063934e-49,2.06648102355901e-46,"Up"
"COMP",514.557938131305,3.02482718733154,0.212964406273093,5.91199313394401e-49,2.10950664097548e-46,"Up"
"PNOC",145.88730461401,2.5314809738005,0.178269032022377,4.03776727139542e-48,1.40873213690907e-45,"Up"
"FAT2",101.371980114123,3.40109004727922,0.243734178310393,4.50777780651558e-48,1.53852416439771e-45,"Up"
"ADRB2",441.39443705134,-1.28387821800845,0.089413831309171,2.47472129187079e-47,8.2666221877386e-45,"Down"
"RNF182",72.7248225722267,-1.74038807544497,0.121953993685071,2.88967460766328e-47,9.45164402923197e-45,"Down"
"C1orf198",2128.06710492174,-1.062708817176,0.0741652024438391,3.15342024765375e-47,1.01038158955437e-44,"Down"
"MS4A15",1736.58412549521,-2.46941528876783,0.175914903059604,5.14482542133588e-47,1.61547518229946e-44,"Down"
"GRIA1",180.54139631229,-1.77858915708046,0.125148720687959,5.92366955259014e-47,1.82356101913069e-44,"Down"
"SNAP25",159.670878970555,1.77023730060398,0.124562357011467,6.10532851942363e-47,1.8433395722106e-44,"Up"
"CD79A",1683.6027503994,2.68895086600936,0.192619472506096,6.69723300841253e-47,1.98389732513352e-44,"Up"
"BACE2",1571.84128564435,1.20894826398612,0.0846319324518808,7.44454568163298e-47,2.16443272595626e-44,"Up"
"SCG5",181.533092877479,2.26325506570492,0.161120288007932,1.0002347124782e-46,2.85521545198322e-44,"Up"
"TMEM45A",1731.34547680758,1.71159970861331,0.120724076906969,1.19951775471681e-46,3.3629337051882e-44,"Up"
"TJP1",1618.58317762182,-0.800493756243585,0.0566818260579283,1.57571297372726e-46,4.34012169956455e-44,"Not Significant"
"AL162171.1",551.246178281605,-1.13205432060729,0.0795935085494073,1.69757106500045e-46,4.59514926215638e-44,"Down"
"SPTBN2",317.99325506014,1.54599667942313,0.109278131881564,3.02106791352757e-46,8.03911292243776e-44,"Up"
"KIF26B",59.7941065774284,2.03695642532175,0.145324604680581,3.69961156652145e-46,9.68065026573113e-44,"Up"
"EDNRB",1739.74745502215,-1.46815114771268,0.103959920180811,5.25556012535764e-46,1.35266055685434e-43,"Down"
"GAP43",30.6311530597705,2.71299364946991,0.196628190717852,5.88321591739005e-46,1.48978209521006e-43,"Up"
"GCNT3",82.1918397301696,2.50649622611884,0.1811130967803,7.1651814086864e-46,1.78560870025994e-43,"Up"
"DAPK2",1195.30901269754,-1.54430523259267,0.109647065726913,7.41862150229533e-46,1.81609338216538e-43,"Down"
"MYO3B",13.7742679468017,1.45616154615515,0.103281234131765,7.51885795164012e-46,1.81609338216538e-43,"Up"
"FDCSP",515.78771691105,4.68117747171463,0.343712144193178,1.08579532695581e-45,2.58287676260701e-43,"Up"
"COL17A1",222.190465044746,3.26785743670425,0.240540377756073,1.24056295384051e-45,2.90699080228298e-43,"Up"
"COL7A1",1415.34924460361,2.24532331920161,0.162062467311266,1.58969001047968e-45,3.67031370066632e-43,"Up"
"WWC2",784.428874951978,-1.40675805040058,0.10012532046713,1.67427675970626e-45,3.80958625034612e-43,"Down"
"ZNF469",47.1511311523517,1.68823468173296,0.120868882572054,2.52637801545541e-45,5.66630497752142e-43,"Up"
