"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006959","humoral immune response","56/1259","195/13425",0.287179487179487,3.06225942445164,9.33169662382146,8.40943179314452e-15,4.33842586208326e-11,3.73024690276958e-11,"C4B/C4A/CXCL13/PRSS2/CFB/C3/PSMB10/RPL39/IFNE/CCR7/CXCL14/WFDC2/LTA/SUSD4/CCL25/CXCL9/MS4A1/CCL17/CR2/CCL14/GZMK/MMP7/CCL13/CCL18/CCL1/JCHAIN/CCR6/ZP3/FCER2/HAMP/BPIFA1/PGLYRP4/KRT6A/LTF/CCL7/CCL19/CXCL11/HLA-E/DEFA4/SLC11A1/GATA6/RNASE3/FCN3/DEFA1/CXCL3/CX3CL1/C8B/CXCL2/DEFA1B/IL1B/IL6/ADM/CAMP/CXCL8/CCL20/GATA3",56
"GO:0019730","antimicrobial humoral response","36/1259","106/13425",0.339622641509434,3.62147256732657,8.71650475198001,2.39152627069516e-12,6.16894201525816e-09,5.30415352879442e-09,"CXCL13/PRSS2/RPL39/CXCL14/WFDC2/CCL25/CXCL9/CCL17/CCL14/MMP7/CCL13/CCL18/CCL1/JCHAIN/HAMP/BPIFA1/PGLYRP4/KRT6A/LTF/CCL7/CCL19/CXCL11/HLA-E/DEFA4/SLC11A1/GATA6/RNASE3/DEFA1/CXCL3/CX3CL1/CXCL2/DEFA1B/ADM/CAMP/CXCL8/CCL20",36
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","30/1259","80/13425",0.375,3.99870929308975,8.65366344386284,9.06080615499947e-12,1.55815663178808e-08,1.33972761884799e-08,"CXCL13/RPL39/CXCL14/CCL25/CXCL9/CCL17/CCL14/MMP7/CCL13/CCL18/CCL1/HAMP/BPIFA1/PGLYRP4/KRT6A/LTF/CCL7/CCL19/CXCL11/DEFA4/RNASE3/DEFA1/CXCL3/CX3CL1/CXCL2/DEFA1B/ADM/CAMP/CXCL8/CCL20",30
"GO:0060326","cell chemotaxis","61/1259","277/13425",0.220216606498195,2.34821917572539,7.29374318126291,1.57178478591145e-10,1.28648337862351e-07,1.10613867589995e-07,"CXCL13/MDK/C3/TPBG/THBS4/CCR7/CXCL14/LGMN/MIF/DPEP1/CCL25/CXCL9/TRPV4/S100A14/MMP2/CCL17/CCL14/SLAMF8/STAP1/HSPB1/GPR18/DEFB124/SMOC2/CCL13/GREM1/CCR5/CCL18/CCL1/PLA2G7/CCR6/CCR8/TNFSF11/CXCR3/CCL7/CCL19/CXCL11/EDNRB/ANXA1/DEFA4/SLIT2/CSF3R/HBEGF/PADI2/SEMA5A/VEGFC/PDGFRA/DEFA1/CXCL3/CX3CL1/S100A8/CXCL2/NR4A1/DEFA1B/IL1B/SFTPD/IL6/CXCR1/FPR2/CXCL8/CXCR2/CCL20",61
"GO:0030198","extracellular matrix organization","59/1259","264/13425",0.223484848484848,2.38306917466965,7.30098324266869,1.70164781149282e-10,1.28648337862351e-07,1.10613867589995e-07,"COMP/PRSS2/PBXIP1/LOXL1/SULF1/POMGNT1/FERMT1/TGFBI/COL14A1/SH3PXD2B/MMP11/PRDX4/HPSE2/FAP/SMOC1/ADAMTS16/ZNF469/POSTN/AEBP1/COL5A2/CST3/MMP2/CARMIL2/COL1A1/EGFLAM/MMP7/SMOC2/GREM1/WT1/COL3A1/MMP9/CCDC80/NOXO1/ADAMTS14/ADAMTS9/MMP3/MMP12/GPM6B/ADAMTS7/RGCC/TIE1/ADAMTSL3/MMP25/SLC39A8/PXDN/IMPG1/FGFR4/RXFP1/PDGFRA/CCN1/COL4A3/MATN3/PPARG/IL6/ADAMTS1/COL4A1/MPZL3/CYP1B1/ADAMTS4",59
"GO:0043062","extracellular structure organization","59/1259","265/13425",0.222641509433962,2.37407646080297,7.2675130932704,1.99442757927216e-10,1.28648337862351e-07,1.10613867589995e-07,"COMP/PRSS2/PBXIP1/LOXL1/SULF1/POMGNT1/FERMT1/TGFBI/COL14A1/SH3PXD2B/MMP11/PRDX4/HPSE2/FAP/SMOC1/ADAMTS16/ZNF469/POSTN/AEBP1/COL5A2/CST3/MMP2/CARMIL2/COL1A1/EGFLAM/MMP7/SMOC2/GREM1/WT1/COL3A1/MMP9/CCDC80/NOXO1/ADAMTS14/ADAMTS9/MMP3/MMP12/GPM6B/ADAMTS7/RGCC/TIE1/ADAMTSL3/MMP25/SLC39A8/PXDN/IMPG1/FGFR4/RXFP1/PDGFRA/CCN1/COL4A3/MATN3/PPARG/IL6/ADAMTS1/COL4A1/MPZL3/CYP1B1/ADAMTS4",59
"GO:0045229","external encapsulating structure organization","59/1259","265/13425",0.222641509433962,2.37407646080297,7.2675130932704,1.99442757927216e-10,1.28648337862351e-07,1.10613867589995e-07,"COMP/PRSS2/PBXIP1/LOXL1/SULF1/POMGNT1/FERMT1/TGFBI/COL14A1/SH3PXD2B/MMP11/PRDX4/HPSE2/FAP/SMOC1/ADAMTS16/ZNF469/POSTN/AEBP1/COL5A2/CST3/MMP2/CARMIL2/COL1A1/EGFLAM/MMP7/SMOC2/GREM1/WT1/COL3A1/MMP9/CCDC80/NOXO1/ADAMTS14/ADAMTS9/MMP3/MMP12/GPM6B/ADAMTS7/RGCC/TIE1/ADAMTSL3/MMP25/SLC39A8/PXDN/IMPG1/FGFR4/RXFP1/PDGFRA/CCN1/COL4A3/MATN3/PPARG/IL6/ADAMTS1/COL4A1/MPZL3/CYP1B1/ADAMTS4",59
"GO:0050900","leukocyte migration","69/1259","334/13425",0.206586826347305,2.20288176625304,7.1612641673947,1.99493448904595e-10,1.28648337862351e-07,1.10613867589995e-07,"CXCL13/MDK/C3/THBS4/ASB2/CCR7/LGMN/MIF/THY1/DPEP1/RET/GDF15/ARTN/CCL25/CXCL9/TRPV4/S100A14/MMP2/ASCL2/SLAMF8/TNFRSF18/STAP1/GPR18/DEFB124/CCL13/ITGA7/GREM1/CCR5/CCL1/TRIM55/PLA2G7/CCR6/ZP3/TNFSF11/CHST4/CXCR3/CCL7/CCL19/CXCL11/EDNRB/MSN/ANXA1/DEFA4/SLIT2/CSF3R/PADI2/ITGA2B/VEGFC/NLRP12/DEFA1/CXCL3/CX3CL1/S100A8/CD177/F11R/PIK3R1/DEFA1B/IL1B/ICAM1/PECAM1/SFTPD/IL6/CXCR1/FPR2/CXCL8/CXCR2/TBX21/CCL20/GATA3",69
"GO:0031640","killing of cells of another organism","30/1259","90/13425",0.333333333333333,3.55440826052423,7.82158889206568,2.72004579748511e-10,1.40327162692257e-07,1.20655505164234e-07,"C4A/CXCL13/CFB/C3/CXCL14/CCL25/CXCL9/PLA2G2A/CCL17/GZMK/CCL13/CCL18/CCL1/HAMP/PGLYRP4/KRT6A/LTF/CCL19/CXCL11/ARG1/DEFA4/FCN3/DEFA1/CXCL3/C8B/CXCL2/DEFA1B/CAMP/CXCL8/CCL20",30
"GO:0141061","disruption of cell in another organism","30/1259","90/13425",0.333333333333333,3.55440826052423,7.82158889206568,2.72004579748511e-10,1.40327162692257e-07,1.20655505164234e-07,"C4A/CXCL13/CFB/C3/CXCL14/CCL25/CXCL9/PLA2G2A/CCL17/GZMK/CCL13/CCL18/CCL1/HAMP/PGLYRP4/KRT6A/LTF/CCL19/CXCL11/ARG1/DEFA4/FCN3/DEFA1/CXCL3/C8B/CXCL2/DEFA1B/CAMP/CXCL8/CCL20",30
"GO:0141060","disruption of anatomical structure in another organism","30/1259","93/13425",0.32258064516129,3.43974992953957,7.59484765273691,6.73097093536239e-10,2.90221680277422e-07,2.49537172787271e-07,"C4A/CXCL13/CFB/C3/CXCL14/CCL25/CXCL9/PLA2G2A/CCL17/GZMK/CCL13/CCL18/CCL1/HAMP/PGLYRP4/KRT6A/LTF/CCL19/CXCL11/ARG1/DEFA4/FCN3/DEFA1/CXCL3/C8B/CXCL2/DEFA1B/CAMP/CXCL8/CCL20",30
"GO:0001525","angiogenesis","87/1259","476/13425",0.182773109243697,1.94895074789248,6.78123764187967,6.75064966723989e-10,2.90221680277422e-07,2.49537172787271e-07,"SERPINF1/CXCL13/NFATC4/MDK/C3/SULF1/ADGRB2/PKM/THBS4/TGFBI/COL15A1/ATP5F1B/THY1/RAMP1/FAP/GRN/CHI3L1/MMP2/ADM2/HMGA2/HSPB1/SMOC2/GREM1/THBS2/TNN/HLA-G/ADAMTS9/FGFBP1/TWIST1/CXCR3/HSPA12B/SEMA6A/CDH13/PTPRB/HIF3A/FLT4/TEK/FUT1/TAL1/HYAL1/DLL4/RGCC/NPR3/TIE1/GATA2/CD36/ADIPOR2/JAK1/TMEM100/HEY1/ANXA1/VSTM4/SLIT2/TSPAN12/PXDN/PTGS2/CALCRL/GATA6/JUN/ROCK2/SEMA5A/ITGA2B/IL1A/CLIC4/VEGFC/KLF4/ITGAV/PDGFRA/CCN1/CX3CL1/COL4A3/ZC3H12A/NR4A1/PPARG/PROK2/IL1B/PECAM1/IL6/ESM1/ADAMTS1/COL4A1/APOH/ADM/CAMP/CXCL8/CYP1B1/AGO1",87
"GO:0006935","chemotaxis","75/1259","399/13425",0.18796992481203,2.00436556044599,6.5516796497964,2.96863305179997e-09,1.09394127958829e-06,9.40587945886094e-07,"CXCL13/MDK/C3/TPBG/THBS4/CCR7/CXCL14/LGMN/DUSP3/MIF/DPEP1/ARTN/MACO1/CCL25/CXCL9/TRPV4/S100A14/MMP2/CCL17/PLXNA4/CCL14/SLAMF8/STAP1/HSPB1/GPR18/DEFB124/SMOC2/CCL13/GREM1/CCR5/CCL18/CCL1/PLA2G7/CCR6/CCR8/TNFSF11/CXCR3/CCL7/CCL19/CXCL11/SEMA6A/CDH13/EDNRB/ANXA1/DEFA4/NOVA2/SEMA6D/SLIT2/CSF3R/HBEGF/PADI2/SEMA5A/VEGFC/RNASE3/ITGAV/PDGFRA/DEFA1/CCN1/CXCL3/CX3CL1/S100A8/NRG3/CXCL2/NR4A1/DEFA1B/SEMA3G/PROK2/IL1B/SFTPD/IL6/CXCR1/FPR2/CXCL8/CXCR2/CCL20",75
"GO:0042330","taxis","75/1259","399/13425",0.18796992481203,2.00436556044599,6.5516796497964,2.96863305179997e-09,1.09394127958829e-06,9.40587945886094e-07,"CXCL13/MDK/C3/TPBG/THBS4/CCR7/CXCL14/LGMN/DUSP3/MIF/DPEP1/ARTN/MACO1/CCL25/CXCL9/TRPV4/S100A14/MMP2/CCL17/PLXNA4/CCL14/SLAMF8/STAP1/HSPB1/GPR18/DEFB124/SMOC2/CCL13/GREM1/CCR5/CCL18/CCL1/PLA2G7/CCR6/CCR8/TNFSF11/CXCR3/CCL7/CCL19/CXCL11/SEMA6A/CDH13/EDNRB/ANXA1/DEFA4/NOVA2/SEMA6D/SLIT2/CSF3R/HBEGF/PADI2/SEMA5A/VEGFC/RNASE3/ITGAV/PDGFRA/DEFA1/CCN1/CXCL3/CX3CL1/S100A8/NRG3/CXCL2/NR4A1/DEFA1B/SEMA3G/PROK2/IL1B/SFTPD/IL6/CXCR1/FPR2/CXCL8/CXCR2/CCL20",75
"GO:0030595","leukocyte chemotaxis","47/1259","205/13425",0.229268292682927,2.44473934016544,6.70549174886531,5.20069951641871e-09,1.67690055032526e-06,1.44182551067029e-06,"CXCL13/MDK/C3/THBS4/CCR7/LGMN/MIF/DPEP1/CCL25/CXCL9/TRPV4/S100A14/MMP2/SLAMF8/STAP1/GPR18/DEFB124/CCL13/GREM1/CCR5/CCL1/PLA2G7/CCR6/TNFSF11/CXCR3/CCL7/CCL19/CXCL11/EDNRB/ANXA1/DEFA4/SLIT2/CSF3R/PADI2/VEGFC/DEFA1/CXCL3/CX3CL1/S100A8/DEFA1B/IL1B/SFTPD/IL6/CXCR1/FPR2/CXCL8/CXCR2",47
"GO:0071674","mononuclear cell migration","47/1259","205/13425",0.229268292682927,2.44473934016544,6.70549174886531,5.20069951641871e-09,1.67690055032526e-06,1.44182551067029e-06,"CXCL13/MDK/ASB2/CCR7/LGMN/MIF/RET/ARTN/TRPV4/S100A14/MMP2/ASCL2/SLAMF8/STAP1/DEFB124/GREM1/CCR5/CCL1/TRIM55/PLA2G7/CCR6/TNFSF11/CXCR3/CCL7/CCL19/CXCL11/EDNRB/MSN/ANXA1/DEFA4/SLIT2/PADI2/NLRP12/DEFA1/CX3CL1/F11R/DEFA1B/ICAM1/PECAM1/SFTPD/IL6/CXCR1/FPR2/CXCR2/TBX21/CCL20/GATA3",47
"GO:0007586","digestion","29/1259","100/13425",0.29,3.09233518665608,6.75581238782361,1.98050808600994e-08,6.01025953866193e-06,5.16771583557021e-06,"KCNN4/PRSS2/MDK/SLC2A5/CLDN2/INAVA/MUC4/NR1H3/AQP5/LIPA/CHIT1/GCNT3/CEL/VSIG1/OXT/AKR1D1/HAMP/TFF3/DCANP1/MUC13/NMU/TJP2/CHRM3/CD36/CCK/F11R/CHRM1/AHR/TLR4",29
"GO:0002227","innate immune response in mucosa","9/1259","11/13425",0.818181818181818,8.72445663946855,8.24451404058432,2.52375130803382e-08,7.23335166563692e-06,6.21934971465176e-06,"CLDN2/RPL39/BPIFB1/LTF/RNASE3/DEFA1/NOS2/DEFA1B/CAMP",9
"GO:0001906","cell killing","46/1259","212/13425",0.216981132075472,2.31371858468086,6.20225313732651,4.58434292951817e-08,1.24476974596759e-05,1.07027263739554e-05,"C4A/CXCL13/PRDX1/SLAMF7/CFB/C3/CXCL14/CCL25/CXCL9/PLA2G2A/CCL17/STAP1/GZMK/CCL13/CCL18/CCL1/RAET1E/HLA-G/SERPINB4/HAMP/PGLYRP4/KRT6A/LTF/CCL19/CXCL11/ARG1/HLA-E/DEFA4/IL7R/NCR1/FCN3/CLEC12B/DEFA1/CXCL3/NOS2/C8B/PIK3R1/CXCL2/IL18RAP/DEFA1B/KIR3DL1/ICAM1/CAMP/CXCL8/FCGR3B/CCL20",46
"GO:0035082","axoneme assembly","24/1259","77/13425",0.311688311688312,3.32360252932135,6.57777531797925,7.17912339731764e-08,1.85185488033809e-05,1.59225399980508e-05,"DNAAF1/LRRC23/DNAI2/CFAP46/RSPH9/CFAP73/CFAP157/SPAG17/DNAJB13/DNAAF3/DNAH12/SPEF1/ZMYND10/DNAI1/CFAP100/DNAH7/DRC7/CFAP47/TEKT2/SPAG6/LRRC46/RSPH1/DRC1/DNAH17",24
"GO:0022600","digestive system process","25/1259","84/13425",0.297619047619048,3.17357880403949,6.42836861412854,1.06454756425228e-07,2.51581171510412e-05,2.16313454615822e-05,"KCNN4/MDK/SLC2A5/CLDN2/INAVA/MUC4/NR1H3/AQP5/LIPA/GCNT3/CEL/VSIG1/OXT/HAMP/TFF3/DCANP1/MUC13/NMU/TJP2/CHRM3/CD36/F11R/CHRM1/AHR/TLR4",25
