"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003341","cilium movement","72/1126","183/13425",0.39344262295082,4.69091226741985,15.2109991310071,5.08722103801967e-31,2.42914804565439e-27,2.10664500669152e-27,"CABYR/CCDC146/SPA17/EFHC1/RIBC2/DNAH7/DNAAF1/CCDC40/DNAH3/DNAH2/DNALI1/ATP1A4/DNAH12/CFAP100/SPAG8/CFAP61/HYDIN/DRC7/RSPH9/MEIG1/DNAAF3/DNAI1/RSPH4A/DNAI2/SPAG17/TTLL9/DNAH6/CFAP57/NEK10/GAS2L2/CFAP157/PACRG/LRRC46/CFAP43/ENKUR/DNAH9/ROPN1L/TEKT1/ZMYND10/DNAH10/SPEF1/ARMC3/CFAP46/CFAP126/CFAP73/CCDC181/EFHC2/CFAP77/CFAP70/TEKT4/TEKT2/EFCAB6/RIBC1/CFAP65/SPAG6/CFAP52/DNAH5/NME5/TTC29/EPPIN/CFAP47/IQUB/TMEM232/CWH43/DRC1/CFAP206/ROPN1B/CFAP45/CATSPERD/MNS1/CFAP58/TACR1",72
"GO:0060294","cilium movement involved in cell motility","55/1126","148/13425",0.371621621621622,4.43074624357928,12.6982754290575,1.54678029900681e-22,3.22370850304977e-19,2.79571656125606e-19,"CCDC146/EFHC1/RIBC2/DNAH7/CCDC40/DNAH3/DNAH2/DNALI1/ATP1A4/SPAG8/CFAP61/DRC7/RSPH9/MEIG1/DNAI1/RSPH4A/TTLL9/DNAH6/CFAP57/GAS2L2/CFAP157/PACRG/LRRC46/CFAP43/ENKUR/DNAH9/ROPN1L/TEKT1/DNAH10/ARMC3/CFAP46/CFAP126/CCDC181/EFHC2/CFAP77/TEKT4/TEKT2/EFCAB6/RIBC1/CFAP65/SPAG6/CFAP52/DNAH5/EPPIN/CFAP47/IQUB/TMEM232/DRC1/CFAP206/ROPN1B/CFAP45/CATSPERD/MNS1/CFAP58/TACR1",55
"GO:0001539","cilium or flagellum-dependent cell motility","55/1126","150/13425",0.366666666666667,4.37166962699822,12.5645993466508,3.28391104055695e-22,3.22370850304977e-19,2.79571656125606e-19,"CCDC146/EFHC1/RIBC2/DNAH7/CCDC40/DNAH3/DNAH2/DNALI1/ATP1A4/SPAG8/CFAP61/DRC7/RSPH9/MEIG1/DNAI1/RSPH4A/TTLL9/DNAH6/CFAP57/GAS2L2/CFAP157/PACRG/LRRC46/CFAP43/ENKUR/DNAH9/ROPN1L/TEKT1/DNAH10/ARMC3/CFAP46/CFAP126/CCDC181/EFHC2/CFAP77/TEKT4/TEKT2/EFCAB6/RIBC1/CFAP65/SPAG6/CFAP52/DNAH5/EPPIN/CFAP47/IQUB/TMEM232/DRC1/CFAP206/ROPN1B/CFAP45/CATSPERD/MNS1/CFAP58/TACR1",55
"GO:0060285","cilium-dependent cell motility","55/1126","150/13425",0.366666666666667,4.37166962699822,12.5645993466508,3.28391104055695e-22,3.22370850304977e-19,2.79571656125606e-19,"CCDC146/EFHC1/RIBC2/DNAH7/CCDC40/DNAH3/DNAH2/DNALI1/ATP1A4/SPAG8/CFAP61/DRC7/RSPH9/MEIG1/DNAI1/RSPH4A/TTLL9/DNAH6/CFAP57/GAS2L2/CFAP157/PACRG/LRRC46/CFAP43/ENKUR/DNAH9/ROPN1L/TEKT1/DNAH10/ARMC3/CFAP46/CFAP126/CCDC181/EFHC2/CFAP77/TEKT4/TEKT2/EFCAB6/RIBC1/CFAP65/SPAG6/CFAP52/DNAH5/EPPIN/CFAP47/IQUB/TMEM232/DRC1/CFAP206/ROPN1B/CFAP45/CATSPERD/MNS1/CFAP58/TACR1",55
"GO:0035082","axoneme assembly","39/1126","77/13425",0.506493506493506,6.03878803257134,13.4164809720912,3.37561099795788e-22,3.22370850304977e-19,2.79571656125606e-19,"CCDC146/DNAH7/DNAAF1/CCDC40/DNAH3/LRGUK/DNAH2/DNAH12/DNAJB13/CFAP74/CFAP100/HYDIN/DRC7/RSPH9/MEIG1/DNAAF3/DNAI1/RSPH4A/DNAI2/SPAG17/CFAP57/CFAP157/LRRC46/RSPH1/CFAP43/ZMYND10/SPEF1/CFAP46/CFAP73/TEKT2/CFAP65/SPAG6/DNAH5/CFAP47/DRC1/CFAP206/RP1/MNS1/CFAP58",39
"GO:0001578","microtubule bundle formation","42/1126","103/13425",0.407766990291262,4.86169790822397,11.9038504150099,2.76337447308461e-19,2.19918551816317e-16,1.90721318896752e-16,"CCDC146/DNAH7/DNAAF1/CCDC40/DNAH3/PLK1/LRGUK/DNAH2/DNAH12/DNAJB13/CFAP74/CFAP100/HYDIN/DRC7/RSPH9/MEIG1/DNAAF3/DNAI1/RSPH4A/DNAI2/SPAG17/CFAP57/GAS2L2/CFAP157/LRRC46/RSPH1/CFAP43/ZMYND10/SPEF1/CFAP46/CFAP73/TEKT2/CFAP65/SPAG6/DNAH5/CFAP47/DRC1/CFAP206/RP1/MNS1/CFAP58/NCKAP5",42
"GO:0097722","sperm motility","46/1126","133/13425",0.345864661654135,4.12365282656018,10.9538976663857,1.28748452133622e-17,8.7824836991149e-15,7.61648737885214e-15,"CCDC146/EFHC1/RIBC2/CCDC40/DNALI1/ATP1A4/FHAD1/SPAG8/CFAP61/DRC7/MEIG1/DNAI1/TTLL9/CFAP57/CFAP157/PACRG/LRRC46/CFAP43/ENKUR/ROPN1L/TEKT1/ARMC3/CFAP126/CCDC181/EFHC2/CFAP77/TEKT4/TEKT2/EFCAB6/RIBC1/CFAP65/SPAG6/CFAP52/DNAH5/EPPIN/CFAP47/IQUB/TMEM232/DRC1/CFAP206/ROPN1B/CFAP45/CATSPERD/MNS1/CFAP58/TACR1",46
"GO:0030317","flagellated sperm motility","45/1126","132/13425",0.340909090909091,4.06456886807686,10.7058243804369,5.49973254941542e-17,3.28265286543233e-14,2.84683524334214e-14,"CCDC146/EFHC1/RIBC2/CCDC40/DNALI1/ATP1A4/SPAG8/CFAP61/DRC7/MEIG1/DNAI1/TTLL9/CFAP57/CFAP157/PACRG/LRRC46/CFAP43/ENKUR/ROPN1L/TEKT1/ARMC3/CFAP126/CCDC181/EFHC2/CFAP77/TEKT4/TEKT2/EFCAB6/RIBC1/CFAP65/SPAG6/CFAP52/DNAH5/EPPIN/CFAP47/IQUB/TMEM232/DRC1/CFAP206/ROPN1B/CFAP45/CATSPERD/MNS1/CFAP58/TACR1",45
"GO:0007018","microtubule-based movement","78/1126","383/13425",0.203655352480418,2.42812886949344,8.57965755144832,8.76796872453584e-14,4.65189451773985e-11,4.03429110670456e-11,"KIF26B/CABYR/CCDC146/KIF24/KIF19/SPA17/EFHC1/RIBC2/DNAH7/DNAAF1/CCDC40/DNAH3/DNAH2/DNALI1/ATP1A4/DNAH12/CFAP100/SPAG8/CFAP61/HYDIN/DRC7/RSPH9/MEIG1/DNAAF3/DNAI1/RSPH4A/DNAI2/SPAG17/TTLL9/DNAH6/CFAP57/NEK10/GAS2L2/CFAP157/PACRG/LRRC46/CFAP43/ENKUR/DNAH9/ROPN1L/TEKT1/ZMYND10/DNAH10/SPEF1/ARMC3/CFAP46/CFAP126/CFAP73/CCDC181/EFHC2/CFAP77/CFAP70/TEKT4/TEKT2/EFCAB6/RIBC1/CFAP65/SPAG6/CFAP52/DNAH5/NME5/TTC29/EPPIN/CFAP47/DYNLRB2/IQUB/TMEM232/CWH43/DRC1/CFAP206/ROPN1B/CFAP45/CATSPERD/MAP1A/MNS1/CFAP58/TACR1/MAP2",78
"GO:0006959","humoral immune response","50/1126","195/13425",0.256410256410256,3.05711162727148,8.75528945642783,3.79716147804841e-13,1.81314460576811e-10,1.57242455312026e-10,"CFH/CXCL13/PRSS2/CFI/IFNE/CFB/MS4A1/C4A/MMP7/CXCL14/CCR7/CR2/C4B/CLU/COLEC11/SUSD4/POU2AF1/C6/LTF/CCL7/PGLYRP4/JCHAIN/CCL24/BPIFA1/CFHR3/KRT6A/WFDC2/CXCL6/FCER2/CCL25/CCL13/CALCA/CCL1/DEFB4A/WFDC12/GNLY/FCN3/DEFA4/CAMP/RNASE3/DEFA1/WFDC10B/PF4/DEFA1B/KLK5/C8B/PLA2G1B/WFDC5/VIP/GATA3",50
